id,mode,film_a,film_b,lens,chunk_count,film_match_rate,theme_match_rate,concrete_evidence_rate,plot_summary_rate,source_diversity,source_role_diversity,source_roles,chunk_roles,film_counts,source_system_phrase_count,comparison_balance_pass,overall
compare_black_swan_prestige_performance,compare_films,black-swan,the-prestige,Performance,12,1.0,0.917,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 5, ""interpretive_claim"": 2, ""scene_evidence"": 4}","{""black-swan"": 6, ""the-prestige"": 6}",3,True,pass
compare_taxi_fight_violence,compare_films,taxi-driver,fight-club,Violence,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 5, ""interpretive_claim"": 2, ""scene_evidence"": 2}","{""fight-club"": 6, ""taxi-driver"": 6}",1,True,pass
compare_truman_gone_girl_control,compare_films,truman-show,gone-girl,Control,12,1.0,1.0,1.0,0.0,8,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 6, ""scene_evidence"": 5}","{""gone-girl"": 6, ""truman-show"": 6}",1,True,pass
compare_truman_gone_girl_performance,compare_films,truman-show,gone-girl,Performance,12,1.0,0.917,1.0,0.0,7,3,creator_voice|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 4, ""scene_evidence"": 5}","{""gone-girl"": 6, ""truman-show"": 6}",1,True,pass
compare_se7en_prisoners_justice,compare_films,se7en,prisoners,Justice,12,1.0,0.833,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 3}","{""prisoners"": 6, ""se7en"": 6}",1,True,pass
compare_shawshank_cuckoo_control,compare_films,shawshank-redemption,one-flew-over-the-cuckoos-nest,Control,12,1.0,1.0,1.0,0.0,8,3,creator_voice|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 2, ""scene_evidence"": 3}","{""one-flew-over-the-cuckoos-nest"": 6, ""shawshank-redemption"": 6}",3,True,pass
theme_memory,explore_theme,,,Memory,12,1.0,0.917,1.0,0.0,8,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 7, ""scene_evidence"": 2}","{""memento"": 7, ""mulholland-drive"": 3, ""one-flew-over-the-cuckoos-nest"": 1, ""the-machinist"": 1}",1,True,pass
theme_performance,explore_theme,,,Performance,12,1.0,0.917,1.0,0.0,8,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 7, ""interpretive_claim"": 2, ""scene_evidence"": 1}","{""gone-girl"": 2, ""memento"": 2, ""mulholland-drive"": 3, ""one-flew-over-the-cuckoos-nest"": 2, ""sixth-sense"": 1, ""the-machinist"": 1, ""the-prestige"": 1}",2,True,pass
theme_justice,explore_theme,,,Justice,12,1.0,0.833,1.0,0.0,9,2,creator_voice|scholarship,"{""creator_commentary"": 4, ""formal_observation"": 6, ""interpretive_claim"": 2}","{""memento"": 1, ""se7en"": 5, ""shawshank-redemption"": 3, ""taxi-driver"": 1, ""the-machinist"": 2}",0,True,pass
theme_control,explore_theme,,,Control,12,1.0,0.833,1.0,0.0,9,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 9, ""interpretive_claim"": 1, ""scene_evidence"": 1}","{""gone-girl"": 2, ""memento"": 1, ""mulholland-drive"": 2, ""one-flew-over-the-cuckoos-nest"": 2, ""shawshank-redemption"": 1, ""sixth-sense"": 1, ""the-machinist"": 1, ""truman-show"": 2}",2,True,pass
theme_reality,explore_theme,,,Reality vs Illusion,12,1.0,1.0,1.0,0.0,10,2,creator_voice|scholarship,"{""creator_commentary"": 4, ""formal_observation"": 8}","{""gone-girl"": 1, ""memento"": 3, ""mulholland-drive"": 1, ""one-flew-over-the-cuckoos-nest"": 2, ""shawshank-redemption"": 1, ""the-machinist"": 1, ""the-prestige"": 1, ""truman-show"": 2}",2,True,pass
theme_trauma,explore_theme,,,Trauma,12,1.0,0.667,1.0,0.0,9,2,creator_voice|scholarship,"{""creator_commentary"": 1, ""formal_observation"": 10, ""interpretive_claim"": 1}","{""gone-girl"": 2, ""memento"": 1, ""mulholland-drive"": 2, ""one-flew-over-the-cuckoos-nest"": 2, ""shutter-island"": 2, ""the-machinist"": 2, ""truman-show"": 1}",1,True,pass
