id,film_slug,film_title,lens,lens_scope,chunk_count,film_match_rate,theme_match_rate,concrete_evidence_rate,plot_summary_rate,source_diversity,source_role_diversity,source_roles,chunk_roles,overall
the-prestige__performance,the-prestige,The Prestige,Performance,primary,12,1.0,1.0,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 2, ""interpretive_claim"": 3, ""scene_evidence"": 7}",pass
memento__memory,memento,Memento,Memory,primary,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 3}",pass
memento__identity,memento,Memento,Identity,primary,12,1.0,1.0,0.833,0.167,6,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 2, ""interpretive_claim"": 3, ""plot_summary"": 2, ""scene_evidence"": 4}",pass
memento__guilt,memento,Memento,Guilt,primary,12,1.0,0.917,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 2, ""interpretive_claim"": 6, ""scene_evidence"": 3}",pass
memento__reality_vs_illusion,memento,Memento,Reality vs Illusion,primary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 5, ""scene_evidence"": 4}",pass
taxi-driver__isolation,taxi-driver,Taxi Driver,Isolation,primary,12,1.0,1.0,1.0,0.0,5,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 4}",pass
taxi-driver__violence,taxi-driver,Taxi Driver,Violence,primary,12,1.0,1.0,0.917,0.083,5,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 3, ""interpretive_claim"": 1, ""plot_summary"": 1, ""scene_evidence"": 4}",pass
shutter-island__reality_vs_illusion,shutter-island,Shutter Island,Reality vs Illusion,primary,12,1.0,1.0,1.0,0.0,5,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 3, ""interpretive_claim"": 1, ""scene_evidence"": 6}",pass
shutter-island__trauma,shutter-island,Shutter Island,Trauma,primary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 4, ""interpretive_claim"": 4, ""scene_evidence"": 2}",pass
shutter-island__guilt,shutter-island,Shutter Island,Guilt,primary,12,1.0,1.0,1.0,0.0,5,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 4, ""interpretive_claim"": 1, ""scene_evidence"": 5}",pass
black-swan__performance,black-swan,Black Swan,Performance,primary,12,1.0,1.0,0.917,0.083,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 1, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
black-swan__identity,black-swan,Black Swan,Identity,primary,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 4, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
black-swan__obsession,black-swan,Black Swan,Obsession,primary,12,1.0,0.75,1.0,0.0,5,4,creator_voice|criticism|production_context|scholarship,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 5}",pass
black-swan__control,black-swan,Black Swan,Control,primary,12,1.0,0.917,0.917,0.083,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 2, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
sixth-sense__trauma,sixth-sense,The Sixth Sense,Trauma,primary,12,1.0,1.0,1.0,0.0,5,3,creator_voice|criticism|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 3, ""scene_evidence"": 6}",pass
sixth-sense__reality_vs_illusion,sixth-sense,The Sixth Sense,Reality vs Illusion,primary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 3, ""scene_evidence"": 6}",pass
sixth-sense__isolation,sixth-sense,The Sixth Sense,Isolation,primary,12,1.0,1.0,1.0,0.0,6,3,creator_voice|criticism|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 3, ""interpretive_claim"": 2, ""scene_evidence"": 4}",pass
prisoners__justice,prisoners,Prisoners,Justice,primary,12,1.0,0.917,1.0,0.0,5,2,criticism|screenplay,"{""formal_observation"": 2, ""interpretive_claim"": 2, ""scene_evidence"": 8}",pass
prisoners__violence,prisoners,Prisoners,Violence,primary,12,1.0,1.0,1.0,0.0,5,2,criticism|screenplay,"{""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 6}",pass
prisoners__obsession,prisoners,Prisoners,Obsession,primary,12,1.0,1.0,1.0,0.0,6,3,creator_voice|criticism|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 4, ""interpretive_claim"": 3, ""scene_evidence"": 4}",pass
gone-girl__performance,gone-girl,Gone Girl,Performance,primary,12,1.0,1.0,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 1, ""plot_summary"": 1, ""scene_evidence"": 3}",pass
gone-girl__control,gone-girl,Gone Girl,Control,primary,12,1.0,1.0,0.917,0.083,6,3,criticism|scholarship|screenplay,"{""formal_observation"": 6, ""interpretive_claim"": 2, ""plot_summary"": 1, ""scene_evidence"": 3}",pass
gone-girl__identity,gone-girl,Gone Girl,Identity,primary,12,1.0,1.0,1.0,0.0,5,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 4, ""interpretive_claim"": 4, ""scene_evidence"": 2}",pass
requiem-for-a-dream__obsession,requiem-for-a-dream,Requiem for a Dream,Obsession,primary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
requiem-for-a-dream__control,requiem-for-a-dream,Requiem for a Dream,Control,primary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
requiem-for-a-dream__trauma,requiem-for-a-dream,Requiem for a Dream,Trauma,primary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""interpretive_claim"": 1, ""scene_evidence"": 1}",pass
donnie-darko__reality_vs_illusion,donnie-darko,Donnie Darko,Reality vs Illusion,primary,12,1.0,1.0,1.0,0.0,6,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 4, ""interpretive_claim"": 1, ""scene_evidence"": 7}",pass
donnie-darko__isolation,donnie-darko,Donnie Darko,Isolation,primary,12,1.0,0.333,0.917,0.083,6,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 3, ""interpretive_claim"": 2, ""plot_summary"": 1, ""scene_evidence"": 6}",fail
donnie-darko__trauma,donnie-darko,Donnie Darko,Trauma,primary,12,1.0,0.417,1.0,0.0,6,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 3, ""interpretive_claim"": 2, ""scene_evidence"": 7}",fail
the-machinist__guilt,the-machinist,The Machinist,Guilt,primary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|scholarship,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 3}",pass
the-machinist__trauma,the-machinist,The Machinist,Trauma,primary,12,1.0,1.0,0.917,0.083,6,3,creator_voice|criticism|scholarship,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 3, ""plot_summary"": 1}",pass
the-machinist__identity,the-machinist,The Machinist,Identity,primary,12,1.0,1.0,0.917,0.083,7,4,creator_voice|criticism|production_context|scholarship,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 3, ""plot_summary"": 1}",pass
mulholland-drive__identity,mulholland-drive,Mulholland Drive,Identity,primary,12,1.0,1.0,0.917,0.083,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 5, ""interpretive_claim"": 1, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
mulholland-drive__reality_vs_illusion,mulholland-drive,Mulholland Drive,Reality vs Illusion,primary,12,1.0,1.0,0.917,0.083,5,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 1, ""formal_observation"": 2, ""interpretive_claim"": 1, ""plot_summary"": 1, ""scene_evidence"": 7}",pass
truman-show__freedom,truman-show,The Truman Show,Freedom,primary,12,1.0,0.833,1.0,0.0,6,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 1, ""interpretive_claim"": 2, ""scene_evidence"": 7}",pass
truman-show__reality_vs_illusion,truman-show,The Truman Show,Reality vs Illusion,primary,12,1.0,1.0,1.0,0.0,5,3,creator_voice|criticism|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 2, ""interpretive_claim"": 1, ""scene_evidence"": 6}",pass
truman-show__control,truman-show,The Truman Show,Control,primary,12,1.0,1.0,1.0,0.0,6,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 2, ""interpretive_claim"": 2, ""scene_evidence"": 6}",pass
truman-show__performance,truman-show,The Truman Show,Performance,primary,12,1.0,0.917,1.0,0.0,5,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 3, ""interpretive_claim"": 1, ""scene_evidence"": 6}",pass
