id,mode,film_a,film_b,lens,coverage_level,coverage_score,answer_quality_score,passed,critical_failures,judge_error,theme_card_titles,theme_card_summaries
compare_prestige_requiem_obsession,compare_films,the-prestige,requiem-for-a-dream,Obsession,high,1.0,,True,none,,,
compare_memento_donnie_reality,compare_films,memento,donnie-darko,Reality vs Illusion,high,0.92,,True,none,,,
compare_memento_machinist_identity,compare_films,memento,the-machinist,Identity,high,1.0,,True,none,,,
compare_taxi_donnie_isolation,compare_films,taxi-driver,donnie-darko,Isolation,high,1.0,,True,none,,,
compare_shutter_donnie_trauma,compare_films,shutter-island,donnie-darko,Trauma,high,1.0,,True,none,,,
compare_shutter_mulholland_reality,compare_films,shutter-island,mulholland-drive,Reality vs Illusion,high,0.84,,True,none,,,
compare_black_swan_requiem_obsession,compare_films,black-swan,requiem-for-a-dream,Obsession,high,1.0,,True,none,,,
compare_sixth_sense_machinist_trauma,compare_films,sixth-sense,the-machinist,Trauma,high,1.0,,True,none,,,
compare_requiem_machinist_trauma,compare_films,requiem-for-a-dream,the-machinist,Trauma,high,1.0,,True,none,,,
compare_mulholland_truman_reality,compare_films,mulholland-drive,truman-show,Reality vs Illusion,high,1.0,,True,none,,,
theme_memory,explore_theme,,,Memory,high,1.0,,True,none,,Memento | Donnie Darko | The Prestige,"Memento: A man with short-term memory loss tries to find his wife's killer by relying on photographs, notes, and tattoos to piece together the truth. | Donnie Darko: A troubled teenager begins experiencing visions of a mysterious figure in a rabbit costume who tells him the world will soon end. | The Prestige: Two rival magicians become consumed by their competition, sacrificing everything in their pursuit of the ultimate illusion."
theme_performance,explore_theme,,,Performance,high,0.92,,True,none,,The Prestige | Black Swan | The Truman Show | Gone Girl | Mulholland Drive,"The Prestige: Two rival magicians become consumed by their competition, sacrificing everything in their pursuit of the ultimate illusion. | Black Swan: A perfectionist ballerina spirals into paranoia and obsession as she struggles to embody both sides of the lead role in Swan Lake. | The Truman Show: A man living an idyllic suburban life gradually discovers that his entire existence is a reality television show filmed without his knowledge. | Gone Girl: When a woman mysteriously disappears on her wedding anniversary, suspicion falls on her husband as the media turns their marriage into a spectacle. | Mulholland Drive: An aspiring actress and an amnesiac woman become entangled in a strange mystery that blurs the line between Hollywood dreams and reality."
theme_justice,explore_theme,,,Justice,high,1.0,,True,none,,Se7en | Prisoners | The Shawshank Redemption,"Se7en: Two detectives hunt a serial killer who uses the seven deadly sins as inspiration for a series of gruesome murders. | Prisoners: When his young daughter and her friend disappear, a desperate father takes matters into his own hands while a detective investigates the case. | The Shawshank Redemption: A banker sentenced to life in prison forms an unlikely friendship with a fellow inmate while holding onto hope for freedom."
theme_control,explore_theme,,,Control,high,0.92,,True,none,,One Flew Over the Cuckoo's Nest | The Truman Show | The Silence of the Lambs | Gone Girl | The Shawshank Redemption | Donnie Darko,"One Flew Over the Cuckoo's Nest: A rebellious criminal fakes insanity to avoid prison but finds himself battling the oppressive authority of a psychiatric hospital. | The Truman Show: A man living an idyllic suburban life gradually discovers that his entire existence is a reality television show filmed without his knowledge. | The Silence of the Lambs: A young FBI trainee seeks the help of an imprisoned cannibal to catch a serial killer who skins his victims. | Gone Girl: When a woman mysteriously disappears on her wedding anniversary, suspicion falls on her husband as the media turns their marriage into a spectacle. | The Shawshank Redemption: A banker sentenced to life in prison forms an unlikely friendship with a fellow inmate while holding onto hope for freedom. | Donnie Darko: A troubled teenager begins experiencing visions of a mysterious figure in a rabbit costume who tells him the world will soon end."
theme_reality,explore_theme,,,Reality vs Illusion,high,0.92,,True,none,,Shutter Island | Donnie Darko | The Sixth Sense | Mulholland Drive | Memento | The Truman Show,"Shutter Island: A U.S. marshal investigates the disappearance of a patient from an isolated mental institution and begins to question his own reality. | Donnie Darko: A troubled teenager begins experiencing visions of a mysterious figure in a rabbit costume who tells him the world will soon end. | The Sixth Sense: A troubled boy who claims to see dead people seeks help from a child psychologist who is struggling with his own personal failures. | Mulholland Drive: An aspiring actress and an amnesiac woman become entangled in a strange mystery that blurs the line between Hollywood dreams and reality. | Memento: A man with short-term memory loss tries to find his wife's killer by relying on photographs, notes, and tattoos to piece together the truth. | The Truman Show: A man living an idyllic suburban life gradually discovers that his entire existence is a reality television show filmed without his knowledge."
theme_trauma,explore_theme,,,Trauma,high,1.0,,True,none,,Requiem for a Dream | The Sixth Sense | The Silence of the Lambs | The Machinist | Shutter Island,Requiem for a Dream: Four people become consumed by their addictions as their dreams of a better life give way to increasingly devastating consequences. | The Sixth Sense: A troubled boy who claims to see dead people seeks help from a child psychologist who is struggling with his own personal failures. | The Silence of the Lambs: A young FBI trainee seeks the help of an imprisoned cannibal to catch a serial killer who skins his victims. | The Machinist: A machinist who has not slept in a year becomes increasingly paranoid as his deteriorating mental state draws him into a disturbing mystery. | Shutter Island: A U.S. marshal investigates the disappearance of a patient from an isolated mental institution and begins to question his own reality.
theme_identity,explore_theme,,,Identity,high,1.0,,True,none,,Memento | Requiem for a Dream | Fight Club | Mulholland Drive | Gone Girl | Black Swan,"Memento: A man with short-term memory loss tries to find his wife's killer by relying on photographs, notes, and tattoos to piece together the truth. | Requiem for a Dream: Four people become consumed by their addictions as their dreams of a better life give way to increasingly devastating consequences. | Fight Club: An insomniac office worker's life changes when he meets a mysterious man who introduces him to an underground fight club. | Mulholland Drive: An aspiring actress and an amnesiac woman become entangled in a strange mystery that blurs the line between Hollywood dreams and reality. | Gone Girl: When a woman mysteriously disappears on her wedding anniversary, suspicion falls on her husband as the media turns their marriage into a spectacle. | Black Swan: A perfectionist ballerina spirals into paranoia and obsession as she struggles to embody both sides of the lead role in Swan Lake."
theme_obsession,explore_theme,,,Obsession,high,1.0,,True,none,,Requiem for a Dream | Mulholland Drive | The Prestige | Black Swan | Fight Club | Se7en,"Requiem for a Dream: Four people become consumed by their addictions as their dreams of a better life give way to increasingly devastating consequences. | Mulholland Drive: An aspiring actress and an amnesiac woman become entangled in a strange mystery that blurs the line between Hollywood dreams and reality. | The Prestige: Two rival magicians become consumed by their competition, sacrificing everything in their pursuit of the ultimate illusion. | Black Swan: A perfectionist ballerina spirals into paranoia and obsession as she struggles to embody both sides of the lead role in Swan Lake. | Fight Club: An insomniac office worker's life changes when he meets a mysterious man who introduces him to an underground fight club. | Se7en: Two detectives hunt a serial killer who uses the seven deadly sins as inspiration for a series of gruesome murders."
