id,mode,film_a,film_b,lens,trials,retrieval_pass_rate,avg_film_match_rate,avg_lens_match_rate,avg_concrete_evidence_rate,avg_plot_summary_rate,avg_source_diversity,avg_source_role_diversity,comparison_balance_pass_rate,answer_passed,answer_quality_score,answer_coverage_level,answer_coverage_score,answer_retry_used,answer_failure_count,answer_judge_available,avg_response_latency_seconds
compare_memento_donnie_reality,compare_films,memento,donnie-darko,Reality vs Illusion,3,100.0,1.0,1.0,1.0,0.0,5.0,3.0,100.0,True,4.8,high,0.92,False,0,True,
compare_memento_machinist_identity,compare_films,memento,the-machinist,Identity,3,100.0,1.0,1.0,1.0,0.0,8.0,4.0,100.0,True,4.7,high,1.0,False,0,True,
compare_taxi_donnie_isolation,compare_films,taxi-driver,donnie-darko,Isolation,3,100.0,1.0,0.583,1.0,0.0,8.0,4.0,100.0,True,4.7,high,1.0,False,0,True,
compare_shutter_donnie_trauma,compare_films,shutter-island,donnie-darko,Trauma,3,100.0,1.0,0.667,1.0,0.0,7.0,4.0,100.0,True,4.9,high,1.0,False,0,True,
compare_shutter_mulholland_reality,compare_films,shutter-island,mulholland-drive,Reality vs Illusion,3,100.0,1.0,1.0,1.0,0.0,4.0,3.0,100.0,True,5.0,high,0.84,False,0,True,
compare_black_swan_requiem_obsession,compare_films,black-swan,requiem-for-a-dream,Obsession,3,100.0,1.0,0.833,1.0,0.0,7.0,4.0,100.0,True,5.0,high,1.0,False,0,True,
compare_sixth_sense_machinist_trauma,compare_films,sixth-sense,the-machinist,Trauma,3,100.0,1.0,1.0,1.0,0.0,8.0,4.0,100.0,True,4.9,high,1.0,False,0,True,
compare_requiem_machinist_trauma,compare_films,requiem-for-a-dream,the-machinist,Trauma,3,100.0,1.0,1.0,1.0,0.0,8.0,4.0,100.0,True,4.7,high,1.0,False,0,True,
compare_mulholland_truman_reality,compare_films,mulholland-drive,truman-show,Reality vs Illusion,3,100.0,1.0,1.0,1.0,0.0,6.0,3.0,100.0,True,5.0,high,1.0,False,0,True,
theme_memory,explore_theme,,,Memory,3,100.0,1.0,1.0,1.0,0.0,9.0,5.0,,True,,high,1.0,False,0,False,
theme_performance,explore_theme,,,Performance,3,100.0,1.0,1.0,1.0,0.0,7.0,5.0,,True,,high,0.92,False,0,False,
theme_justice,explore_theme,,,Justice,3,100.0,1.0,0.917,1.0,0.0,5.0,3.0,,True,,high,1.0,False,0,False,
theme_control,explore_theme,,,Control,3,100.0,1.0,1.0,1.0,0.0,8.0,2.0,,True,,high,0.92,False,0,False,
theme_reality,explore_theme,,,Reality vs Illusion,3,100.0,1.0,1.0,1.0,0.0,8.0,3.0,,True,,high,0.92,False,0,False,
theme_trauma,explore_theme,,,Trauma,3,100.0,1.0,1.0,1.0,0.0,9.0,5.0,,True,,high,1.0,False,0,False,
theme_identity,explore_theme,,,Identity,3,100.0,1.0,1.0,1.0,0.0,9.0,3.0,,True,,high,1.0,False,0,False,
theme_obsession,explore_theme,,,Obsession,3,100.0,1.0,1.0,1.0,0.0,9.0,5.0,,True,,high,1.0,False,0,False,
