id,film_slug,film_title,lens,chunk_count,film_match_rate,theme_match_rate,concrete_evidence_rate,plot_summary_rate,source_diversity,source_role_diversity,source_roles,chunk_roles,overall
one-flew-over-the-cuckoos-nest__institutional_power,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Institutional Power,12,1.0,0.917,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
one-flew-over-the-cuckoos-nest__rebellion,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Rebellion,12,1.0,0.417,1.0,0.0,8,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 1}",fail
one-flew-over-the-cuckoos-nest__madness,one-flew-over-the-cuckoos-nest,One Flew Over the Cuckoo's Nest,Madness,12,1.0,0.167,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",fail
se7en__justice,se7en,Se7en,Justice,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
se7en__violence,se7en,Se7en,Violence,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
se7en__moral_decay,se7en,Se7en,Moral Decay,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
se7en__obsession,se7en,Se7en,Obsession,12,1.0,0.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",fail
se7en__guilt,se7en,Se7en,Guilt,12,1.0,0.333,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",fail
silence-of-the-lambs__power,silence-of-the-lambs,The Silence of the Lambs,Power,12,1.0,1.0,1.0,0.0,8,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
silence-of-the-lambs__fear,silence-of-the-lambs,The Silence of the Lambs,Fear,12,1.0,0.917,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 6, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
silence-of-the-lambs__identity,silence-of-the-lambs,The Silence of the Lambs,Identity,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
silence-of-the-lambs__gender,silence-of-the-lambs,The Silence of the Lambs,Gender,12,1.0,0.5,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 6, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
silence-of-the-lambs__control,silence-of-the-lambs,The Silence of the Lambs,Control,12,1.0,0.5,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 6, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
the-prestige__obsession,the-prestige,The Prestige,Obsession,12,1.0,1.0,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 5, ""interpretive_claim"": 2, ""scene_evidence"": 5}",pass
the-prestige__performance,the-prestige,The Prestige,Performance,12,1.0,1.0,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 4, ""interpretive_claim"": 3, ""scene_evidence"": 5}",pass
the-prestige__sacrifice,the-prestige,The Prestige,Sacrifice,12,1.0,1.0,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 3, ""interpretive_claim"": 4, ""scene_evidence"": 5}",pass
the-prestige__doubles,the-prestige,The Prestige,Doubles,12,1.0,0.083,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 6, ""interpretive_claim"": 1, ""scene_evidence"": 5}",fail
the-prestige__truth,the-prestige,The Prestige,Truth,12,1.0,0.75,1.0,0.0,5,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 6, ""interpretive_claim"": 1, ""scene_evidence"": 5}",pass
memento__memory,memento,Memento,Memory,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
memento__identity,memento,Memento,Identity,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 2, ""interpretive_claim"": 4, ""scene_evidence"": 2}",pass
memento__guilt,memento,Memento,Guilt,12,1.0,0.25,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",fail
memento__reality_vs_illusion,memento,Memento,Reality vs Illusion,12,1.0,0.333,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",fail
memento__truth,memento,Memento,Truth,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
memento__self-deception,memento,Memento,Self-Deception,12,1.0,0.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",fail
taxi-driver__isolation,taxi-driver,Taxi Driver,Isolation,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
taxi-driver__masculinity,taxi-driver,Taxi Driver,Masculinity,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
taxi-driver__violence,taxi-driver,Taxi Driver,Violence,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
taxi-driver__alienation,taxi-driver,Taxi Driver,Alienation,12,1.0,0.083,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
taxi-driver__moral_delusion,taxi-driver,Taxi Driver,Moral Delusion,12,1.0,0.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
shutter-island__reality_vs_illusion,shutter-island,Shutter Island,Reality vs Illusion,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
shutter-island__trauma,shutter-island,Shutter Island,Trauma,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
shutter-island__guilt,shutter-island,Shutter Island,Guilt,12,1.0,0.833,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 6, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
shutter-island__denial,shutter-island,Shutter Island,Denial,12,1.0,0.25,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 6, ""interpretive_claim"": 2, ""scene_evidence"": 2}",fail
shutter-island__madness,shutter-island,Shutter Island,Madness,12,1.0,0.083,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",fail
black-swan__performance,black-swan,Black Swan,Performance,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 5, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
black-swan__identity,black-swan,Black Swan,Identity,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 6, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
black-swan__obsession,black-swan,Black Swan,Obsession,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
black-swan__control,black-swan,Black Swan,Control,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
black-swan__doubles,black-swan,Black Swan,Doubles,12,1.0,0.333,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",fail
sixth-sense__trauma,sixth-sense,The Sixth Sense,Trauma,12,1.0,0.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
sixth-sense__reality_vs_illusion,sixth-sense,The Sixth Sense,Reality vs Illusion,12,1.0,0.167,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
sixth-sense__isolation,sixth-sense,The Sixth Sense,Isolation,12,1.0,0.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
sixth-sense__grief,sixth-sense,The Sixth Sense,Grief,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
sixth-sense__perception,sixth-sense,The Sixth Sense,Perception,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
sixth-sense__childhood,sixth-sense,The Sixth Sense,Childhood,12,1.0,0.083,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
sixth-sense__revelation,sixth-sense,The Sixth Sense,Revelation,12,1.0,0.167,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
prisoners__justice,prisoners,Prisoners,Justice,12,1.0,0.917,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
prisoners__faith,prisoners,Prisoners,Faith,12,1.0,0.917,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
prisoners__violence,prisoners,Prisoners,Violence,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
prisoners__obsession,prisoners,Prisoners,Obsession,12,1.0,0.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",fail
prisoners__moral_ambiguity,prisoners,Prisoners,Moral Ambiguity,12,1.0,0.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",fail
gone-girl__performance,gone-girl,Gone Girl,Performance,12,1.0,0.667,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 4}",pass
gone-girl__marriage,gone-girl,Gone Girl,Marriage,12,1.0,0.833,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 4}",pass
gone-girl__media,gone-girl,Gone Girl,Media,12,1.0,0.917,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 6, ""scene_evidence"": 4}",pass
gone-girl__control,gone-girl,Gone Girl,Control,12,1.0,0.417,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 6, ""scene_evidence"": 4}",fail
gone-girl__identity,gone-girl,Gone Girl,Identity,12,1.0,0.417,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 4}",fail
requiem-for-a-dream__obsession,requiem-for-a-dream,Requiem for a Dream,Obsession,12,1.0,0.75,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
requiem-for-a-dream__control,requiem-for-a-dream,Requiem for a Dream,Control,12,1.0,0.25,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
requiem-for-a-dream__trauma,requiem-for-a-dream,Requiem for a Dream,Trauma,12,1.0,0.083,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
requiem-for-a-dream__addiction,requiem-for-a-dream,Requiem for a Dream,Addiction,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
requiem-for-a-dream__desire,requiem-for-a-dream,Requiem for a Dream,Desire,12,1.0,0.75,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
requiem-for-a-dream__decay,requiem-for-a-dream,Requiem for a Dream,Decay,12,1.0,0.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
requiem-for-a-dream__body,requiem-for-a-dream,Requiem for a Dream,Body,12,1.0,0.417,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",fail
donnie-darko__reality_vs_illusion,donnie-darko,Donnie Darko,Reality vs Illusion,12,1.0,0.75,1.0,0.0,7,3,criticism|scholarship|screenplay,"{""formal_observation"": 7, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
donnie-darko__isolation,donnie-darko,Donnie Darko,Isolation,12,1.0,0.0,1.0,0.0,7,3,criticism|scholarship|screenplay,"{""formal_observation"": 9, ""interpretive_claim"": 1, ""scene_evidence"": 2}",fail
donnie-darko__trauma,donnie-darko,Donnie Darko,Trauma,12,1.0,0.083,1.0,0.0,7,3,criticism|scholarship|screenplay,"{""formal_observation"": 9, ""interpretive_claim"": 1, ""scene_evidence"": 2}",fail
donnie-darko__time,donnie-darko,Donnie Darko,Time,12,1.0,1.0,1.0,0.0,7,3,criticism|scholarship|screenplay,"{""formal_observation"": 9, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
donnie-darko__fate,donnie-darko,Donnie Darko,Fate,12,1.0,0.583,1.0,0.0,7,3,criticism|scholarship|screenplay,"{""formal_observation"": 7, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
donnie-darko__madness,donnie-darko,Donnie Darko,Madness,12,1.0,0.0,1.0,0.0,7,3,criticism|scholarship|screenplay,"{""formal_observation"": 9, ""interpretive_claim"": 1, ""scene_evidence"": 2}",fail
the-machinist__guilt,the-machinist,The Machinist,Guilt,12,1.0,1.0,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 2, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
the-machinist__trauma,the-machinist,The Machinist,Trauma,12,1.0,0.083,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 2, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 2}",fail
the-machinist__identity,the-machinist,The Machinist,Identity,12,1.0,0.25,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 2, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 2}",fail
the-machinist__insomnia,the-machinist,The Machinist,Insomnia,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 3, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
the-machinist__body,the-machinist,The Machinist,Body,12,1.0,1.0,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 2, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
the-machinist__self-punishment,the-machinist,The Machinist,Self-Punishment,12,1.0,0.0,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 2, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 2}",fail
mulholland-drive__dream_logic,mulholland-drive,Mulholland Drive,Dream Logic,12,1.0,0.917,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
mulholland-drive__identity,mulholland-drive,Mulholland Drive,Identity,12,1.0,0.917,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
mulholland-drive__desire,mulholland-drive,Mulholland Drive,Desire,12,1.0,0.917,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
mulholland-drive__hollywood,mulholland-drive,Mulholland Drive,Hollywood,12,1.0,1.0,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
mulholland-drive__reality_vs_illusion,mulholland-drive,Mulholland Drive,Reality vs Illusion,12,1.0,0.5,1.0,0.0,6,4,creator_voice|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
truman-show__surveillance,truman-show,The Truman Show,Surveillance,12,1.0,0.917,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
truman-show__freedom,truman-show,The Truman Show,Freedom,12,1.0,0.917,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
truman-show__reality_vs_illusion,truman-show,The Truman Show,Reality vs Illusion,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
truman-show__control,truman-show,The Truman Show,Control,12,1.0,0.75,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
truman-show__performance,truman-show,The Truman Show,Performance,12,1.0,0.583,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
