id,film_slug,film_title,lens,lens_scope,chunk_count,film_match_rate,theme_match_rate,concrete_evidence_rate,plot_summary_rate,source_diversity,source_role_diversity,source_roles,chunk_roles,overall
shutter-island__denial,shutter-island,Shutter Island,Denial,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 7, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
shutter-island__madness,shutter-island,Shutter Island,Madness,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 6, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
black-swan__doubles,black-swan,Black Swan,Doubles,secondary,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
sixth-sense__grief,sixth-sense,The Sixth Sense,Grief,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
sixth-sense__perception,sixth-sense,The Sixth Sense,Perception,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
sixth-sense__childhood,sixth-sense,The Sixth Sense,Childhood,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
sixth-sense__revelation,sixth-sense,The Sixth Sense,Revelation,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
prisoners__faith,prisoners,Prisoners,Faith,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
prisoners__moral_ambiguity,prisoners,Prisoners,Moral Ambiguity,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
gone-girl__marriage,gone-girl,Gone Girl,Marriage,secondary,12,1.0,0.917,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 4}",pass
gone-girl__media,gone-girl,Gone Girl,Media,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 4}",pass
requiem-for-a-dream__addiction,requiem-for-a-dream,Requiem for a Dream,Addiction,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
requiem-for-a-dream__desire,requiem-for-a-dream,Requiem for a Dream,Desire,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
requiem-for-a-dream__decay,requiem-for-a-dream,Requiem for a Dream,Decay,secondary,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
requiem-for-a-dream__body,requiem-for-a-dream,Requiem for a Dream,Body,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
donnie-darko__time,donnie-darko,Donnie Darko,Time,secondary,12,1.0,1.0,1.0,0.0,7,4,criticism|production_context|scholarship|screenplay,"{""formal_observation"": 9, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
donnie-darko__fate,donnie-darko,Donnie Darko,Fate,secondary,12,1.0,0.917,1.0,0.0,7,3,criticism|scholarship|screenplay,"{""formal_observation"": 8, ""interpretive_claim"": 2, ""scene_evidence"": 2}",pass
donnie-darko__madness,donnie-darko,Donnie Darko,Madness,secondary,12,1.0,1.0,1.0,0.0,7,3,criticism|scholarship|screenplay,"{""formal_observation"": 7, ""interpretive_claim"": 3, ""scene_evidence"": 2}",pass
the-machinist__insomnia,the-machinist,The Machinist,Insomnia,secondary,12,1.0,1.0,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 2, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
the-machinist__body,the-machinist,The Machinist,Body,secondary,12,1.0,1.0,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 3, ""interpretive_claim"": 2, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
the-machinist__self-punishment,the-machinist,The Machinist,Self-Punishment,secondary,12,1.0,1.0,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 2, ""interpretive_claim"": 3, ""plot_summary"": 1, ""scene_evidence"": 2}",pass
mulholland-drive__dream_logic,mulholland-drive,Mulholland Drive,Dream Logic,secondary,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
mulholland-drive__desire,mulholland-drive,Mulholland Drive,Desire,secondary,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 6, ""scene_evidence"": 2}",pass
mulholland-drive__hollywood,mulholland-drive,Mulholland Drive,Hollywood,secondary,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 7, ""scene_evidence"": 2}",pass
truman-show__surveillance,truman-show,The Truman Show,Surveillance,secondary,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 5, ""interpretive_claim"": 1, ""scene_evidence"": 2}",pass
