id,mode,film_a,film_b,lens,trials,retrieval_guardrails_pass_rate,answer_faithfulness,answer_relevance,answer_coverage_level,answer_coverage_score,answer_retry_used,answer_failure_count,answer_judge_available,answer_judge_gate_passed,answer_first_passed,avg_response_latency_seconds
compare_lambs_black_swan_identity,compare_films,silence-of-the-lambs,black-swan,Identity,3,100.0,,,,,,,,,,
compare_prestige_black_swan_obsession,compare_films,the-prestige,black-swan,Obsession,3,100.0,,,,,,,,,,
compare_prestige_mulholland_performance,compare_films,the-prestige,mulholland-drive,Performance,3,100.0,,,,,,,,,,
compare_memento_mulholland_reality,compare_films,memento,mulholland-drive,Illusion,3,0.0,,,,,,,,,,
compare_memento_sixth_reality,compare_films,memento,sixth-sense,Illusion,3,0.0,,,,,,,,,,
compare_taxi_sixth_isolation,compare_films,taxi-driver,sixth-sense,Isolation,3,100.0,,,,,,,,,,
compare_taxi_prisoners_violence,compare_films,taxi-driver,prisoners,Violence,3,100.0,,,,,,,,,,
compare_shutter_sixth_trauma,compare_films,shutter-island,sixth-sense,Trauma,3,100.0,,,,,,,,,,
compare_shutter_machinist_guilt,compare_films,shutter-island,the-machinist,Guilt,3,100.0,,,,,,,,,,
compare_black_gone_girl_performance,compare_films,black-swan,gone-girl,Performance,3,100.0,,,,,,,,,,
compare_black_mulholland_identity,compare_films,black-swan,mulholland-drive,Identity,3,100.0,,,,,,,,,,
compare_sixth_donnie_trauma,compare_films,sixth-sense,donnie-darko,Trauma,3,100.0,,,,,,,,,,
compare_sixth_requiem_trauma,compare_films,sixth-sense,requiem-for-a-dream,Trauma,3,100.0,,,,,,,,,,
compare_prisoners_requiem_obsession,compare_films,prisoners,requiem-for-a-dream,Obsession,3,0.0,,,,,,,,,,
compare_requiem_donnie_trauma,compare_films,requiem-for-a-dream,donnie-darko,Trauma,3,100.0,,,,,,,,,,
compare_requiem_black_swan_control,compare_films,requiem-for-a-dream,black-swan,Control,3,100.0,,,,,,,,,,
compare_donnie_truman_reality,compare_films,donnie-darko,truman-show,Illusion,3,0.0,,,,,,,,,,
compare_donnie_mulholland_reality,compare_films,donnie-darko,mulholland-drive,Illusion,3,0.0,,,,,,,,,,
compare_machinist_memento_guilt,compare_films,the-machinist,memento,Guilt,3,100.0,,,,,,,,,,
compare_machinist_black_swan_identity,compare_films,the-machinist,black-swan,Identity,3,100.0,,,,,,,,,,
compare_mulholland_truman_performance,compare_films,mulholland-drive,truman-show,Performance,3,100.0,,,,,,,,,,
lens_memory,explore_lens,,,Memory,3,0.0,,,,,,,,,,
lens_performance,explore_lens,,,Performance,3,100.0,,,,,,,,,,
lens_justice,explore_lens,,,Justice,3,0.0,,,,,,,,,,
lens_control,explore_lens,,,Control,3,100.0,,,,,,,,,,
lens_reality,explore_lens,,,Illusion,3,100.0,,,,,,,,,,
lens_trauma,explore_lens,,,Trauma,3,100.0,,,,,,,,,,
lens_identity,explore_lens,,,Identity,3,100.0,,,,,,,,,,
lens_obsession,explore_lens,,,Obsession,3,100.0,,,,,,,,,,
lens_freedom,explore_lens,,,Freedom,3,0.0,,,,,,,,,,
lens_isolation,explore_lens,,,Isolation,3,0.0,,,,,,,,,,
lens_guilt,explore_lens,,,Guilt,3,100.0,,,,,,,,,,
lens_violence,explore_lens,,,Violence,3,0.0,,,,,,,,,,
